# wavelength   electrons_per_sec       
  916.882      0.47272129629629633     
  917.609      0.4248712962962963      
  918.337      0.3740962962962963      
  919.064      0.3564759259259259      
  919.792      0.36636759259259255     
  920.519      0.3964842592592593      
  921.247      0.42989074074074074     
  921.974      0.4417990740740741      
  922.701      0.4382685185185185      
  923.429      0.42365092592592596     
  924.156      0.39010462962962966     
  924.884      0.3526407407407407      
  925.611      0.33568425925925927     
  926.339      0.33001018518518516     
  927.066      0.32533240740740743     
  927.794      0.33107222222222227     
  928.521      0.433787037037037       
  929.249      0.7660222222222222      
  929.976      1.1930462962962962      
  930.703      1.4974074074074073      
  931.431      1.7309537037037037      
  932.158      1.7475462962962962      
  932.886      1.4677037037037037      
  933.613      1.0505648148148148      
  934.341      0.7285703703703704      
  935.068      0.4981259259259259      
  935.796      0.6242407407407408      
  936.523      1.0960462962962962      
  937.251      1.359074074074074       
  937.978      1.4446759259259259      
  938.705      1.499064814814815       
  939.433      1.283638888888889       
  940.16       0.8088842592592592      
  940.888      0.639250925925926       
  941.615      0.6278703703703704      
  942.343      0.6938546296296296      
  943.07       0.9442592592592592      
  943.798      1.0860648148148149      
  944.525      1.103351851851852       
  945.253      1.1023796296296295      
  945.98       1.0855462962962963      
  946.707      1.0428055555555555      
  947.435      0.9641018518518518      
  948.162      0.8804740740740741      
  948.89       0.8926055555555555      
  949.617      0.8071685185185185      
  950.345      0.6154916666666668      
  951.072      0.6114231481481481      
  951.8        0.6155722222222223      
  952.527      0.5320379629629629      
  953.255      0.4977148148148148      
  953.982      0.4762138888888889      
  954.709      0.413687037037037       
  955.437      0.4509537037037037      
  956.164      0.48969722222222223     
  956.892      0.46734722222222225     
  957.619      0.405387962962963       
  958.347      0.3232944444444445      
  959.074      0.2205                  
  959.802      0.19269074074074072     
  960.529      0.21499722222222223     
  961.257      0.2290861111111111      
  961.984      0.2296111111111111      
  962.711      0.21521574074074074     
  963.439      0.18224722222222223     
