# wavelength   electrons_per_sec       
  536.464      0.36187300000000006     
  536.737      0.359796                
  537.01       0.358941                
  537.282      0.35918                 
  537.555      0.36017                 
  537.827      0.361443                
  538.1        0.36261099999999996     
  538.373      0.363247                
  538.645      0.36311                 
  538.918      0.362149                
  539.191      0.36040099999999997     
  539.463      0.35809199999999997     
  539.736      0.35565599999999997     
  540.008      0.353552                
  540.281      0.35240099999999996     
  540.554      0.352684                
  540.826      0.35449699999999995     
  541.099      0.357468                
  541.371      0.360638                
  541.644      0.363045                
  541.917      0.364238                
  542.189      0.36439699999999997     
  542.462      0.364241                
  542.734      0.364637                
  543.007      0.36588800000000005     
  543.28       0.367774                
  543.552      0.36987699999999996     
  543.825      0.371794                
  544.097      0.37341599999999997     
  544.37       0.374891                
  544.643      0.37644                 
  544.915      0.378139                
  545.188      0.379863                
  545.461      0.3814                  
  545.733      0.382596                
  546.006      0.38335699999999995     
  546.278      0.383628                
  546.551      0.383472                
  546.824      0.383042                
  547.096      0.38256                 
  547.369      0.38239300000000004     
  547.641      0.382813                
  547.914      0.383924                
  548.187      0.385731                
  548.459      0.38805199999999995     
  548.732      0.390463                
  549.004      0.39261                 
  549.277      0.394207                
  549.55       0.39509                 
  549.822      0.395225                
  550.095      0.394644                
  550.368      0.393708                
  550.64       0.39282300000000003     
  550.913      0.392145                
  551.185      0.391636                
  551.458      0.39123199999999997     
  551.731      0.39069400000000004     
  552.003      0.38996                 
  552.276      0.389254                
  552.548      0.38886                 
  552.821      0.38896400000000003     
  553.094      0.38959800000000006     
  553.366      0.390785                
  553.639      0.393401                
  553.911      0.398497                
  554.184      0.403921                
  554.457      0.407047                
  554.729      0.408189                
  555.002      0.407367                
  555.274      0.403511                
  555.547      0.39890800000000004     
  555.82       0.39786800000000005     
  556.092      0.40023                 
  556.365      0.40138                 
  556.638      0.403511                
  556.91       0.45689599999999997     
  557.183      0.882831                
  557.455      1.73526                 
  557.728      2.16143                 
  558.001      2.21161                 
  558.273      2.16003                 
  558.546      1.73491                 
  558.818      0.8797889999999999      
  559.091      0.45190300000000005     
  559.364      0.400371                
  559.636      0.399346                
  559.909      0.399888                
